Gene	Direction
728	Ntn5	All
729	Nup54	All
730	Nwd1	All
731	Nwd2	All
732	Nxph4	All
733	Olfm2	All
734	Ophn1	All
735	Ormdl2	All
736	Osbpl5	All
737	Osbpl7	All
738	Otud5	All
739	Pag1	All
740	Pak7	All
741	Parp8	All
742	Parva	All
743	Pbx1	All
744	Pbx4	All
745	Pcbd2	All
746	Pcbp3	All
747	Pcdha6	All
748	Pcmt1	All
749	Pcsk9	All
750	Pdgfc	All
751	Pdp1	All
752	Pdzph1	All
753	Phf8	All
754	Pip5k1b	All
755	Plau	All
756	Plcg1	All
757	Plcg2	All
758	Plekha1	All
759	Plekha2	All
760	Plk5	All
761	Plxnc1	All
762	Pmepa1	All
763	Pnma2	All
764	Polm	All
765	Polr3k	All
766	Ppcdc	All
767	Ppp1r37	All
768	Ppp1r3d	All
769	Ppp6r1	All
770	Prkcdbp	All
771	Prmt8	All
772	Prss23	All
773	Psd	All
774	Psd2	All
775	Psd3	All
776	Psmc2	All
777	Ptbp3	All
778	Ptp4a2	All
779	Ptpdc1	All
780	Ptpn5	All
781	Ptpre	All
782	Ptpru	All
783	Puf60	All
784	R3hdm2	All
785	Rab40b	All
786	Rab6b	All
787	Rabgap1l	All
788	Rai14	All
789	Ramp3	All
790	Rangrf	All
791	Rasal3	All
792	Rasd2	All
793	Rasgef1c	All
794	Rasgrf2	All
795	Rasl10a	All
796	Rassf4	All
797	Rbfox1	All
798	Rcan2	All
799	Reps2	All
800	Rexo2	All
801	Rfc5	All
802	Rfesd	All
803	Rgs19	All
804	Rgs4	All
805	Rgs6	All
806	Rhbdl3	All
807	Rhou	All
808	Rimbp2	All
809	Rltpr	All
810	Rmnd5a	All
811	Rmnd5b	All
812	Rnf19b	All
813	Rnf2	All
814	RP23-161B9.10	All
815	RP23-185A18.11	All
816	RP23-218L17.1	All
817	RP23-275N21.1	All
818	RP23-313O9.1	All
819	RP23-406N5.7	All
820	RP23-79E13.7	All
821	RP23-94B13.9	All
822	RP24-229D22.2	All
823	Rpa3	All
824	Rpl38	All
825	Rplp1	All
826	Rpp14	All
827	Rpp30	All
828	Rprml	All
829	Rragd	All
830	Rras2	All
831	Rspo1	All
832	Rspo2	All
833	Sap30l	All
834	Scamp2	All
835	Scfd2	All
836	Scnn1a	All
837	Scrn2	All
838	Scrt2	All
839	Sdc4	All
840	Sdk2	All
841	Sema3a	All
842	Sept8	All
843	Sh3bp5	All
844	Shisa6	All
845	Siae	All
846	Sipa1l3	All
847	Slc17a8	All
848	Slc23a3	All
849	Slc25a18	All
850	Slc25a27	All
851	Slc26a10	All
852	Slc2a5	All
853	Slc2a8	All
854	Slc36a4	All
855	Slc39a11	All
856	Slco3a1	All
857	Smg6	All
858	Smpd2	All
859	Smpd3	All
860	Smyd3	All
861	Sned1	All
862	Sowahb	All
863	Sp4	All
864	Spag5	All
865	Spats2l	All
866	Spon1	All
867	Spp1	All
868	Spred1	All
869	Src	All
870	St8sia3	All
871	St8sia4	All
872	Stab1	All
873	Stac2	All
874	Stc1	All
875	Stox1	All
876	Stxbp5	All
877	Sulf1	All
878	Susd2	All
879	Susd5	All
880	Susd6	All
881	Synj2	All
882	Syt17	All
883	Tcap	All
884	Tcf20	All
885	Tdg	All
886	Thra	All
887	Thsd7a	All
888	Tinf2	All
889	Tmem120b	All
890	Tmem132b	All
891	Tmem144	All
892	Tmem161b	All
893	Tmem178b	All
894	Tmem44	All
895	Tmem60	All
896	Tmem8b	All
897	Tmub1	All
898	Tnc	All
899	Tnfrsf19	All
900	Tnnc1	All
901	Tomm5	All
902	Top3b	All
903	Tpt1	All
904	Tradd	All
905	Trim2	All
906	Trim24	All
907	Trmt5	All
908	Trpc3	All
909	Trps1	All
910	Tspan11	All
911	Tssc4	All
912	Ttc3	All
913	Ttl	All
914	Tuba8	All
915	Txn1	All
916	Uck1	All
917	Ucp2	All
918	Unc93b1	All
919	Usp27x	All
920	Vps54	All
921	Vstm2b	All
922	Was	All
923	Wbscr17	All
924	Wdfy4	All
925	Wdyhv1	All
926	Wfs1	All
927	Whrn	All
928	Wnt7b	All
929	Wnt9a	All
930	Wrnip1	All
931	Wsb2	All
932	Xiap	All
933	Ypel4	All
934	Zbtb4	All
935	Zc3h18	All
936	Zcchc24	All
937	Zdhhc17	All
938	Zdhhc8	All
939	Zeb1	All
940	Zfp397	All
941	Zfp418	All
942	Zfp518a	All
943	Zfp641	All
944	Zfp658	All
945	Zfp738	All
946	Zfp768	All
947	Zfp811	All
948	Zfp874a	All
949	Zfp930	All
950	Zfp952	All
951	Znrf2	All
952	Zswim3	All
